,AMR_key,temp,wind,prec
0,2000,11323,11323,11323
1,3101,11323,11323,11323
2,3159,11323,11323,11323
3,3241,11320,11323,11323
4,3403,11323,11323,11323
5,3404,7245,7246,7247
6,4011,11323,11323,11323
7,5113,11323,11323,11323
8,5315,11323,11323,11323
9,5334,7381,11272,11188
10,5515,11323,11322,11323
11,5711,11323,11323,11323
12,5970,11323,11310,11323
13,6412,11323,11323,11323
14,6611,11323,11323,11323
15,7111,11079,11284,11203
16,7211,11310,11243,11314
17,8111,11323,11323,11323
18,8212,11298,11251,11294
19,8222,11323,11321,11323
20,8311,11323,11323,11323
21,8326,11230,11285,11180
22,8335,11323,11302,11323
23,8336,5051,9318,5051
24,8421,8638,11191,10656
25,8436,10304,11079,10304
26,9162,11323,11323,11323
27,9262,11286,10862,11142
28,9362,11323,11317,11323
29,9462,11263,10698,11263
30,9463,11323,11322,11323
31,9464,11322,11320,11323
32,9479,11240,11161,11238
33,9564,11323,11323,11323
34,9662,11218,11295,11217
35,9663,11247,11304,11247
36,10041,11323,11323,11323
37,11000,11323,11323,11323
38,13003,11322,11323,11323
39,13071,11212,11134,11211
40,13075,11319,11323,11318
41,14511,11323,11323,11323
42,14612,11323,11323,11323
43,14713,11323,11323,11323
44,15003,11323,11323,11323
45,16051,11323,11323,11323
46,16054,11309,11307,11312
