,K_Key,Kreis,AMR_Key,AMR,Kreis_Simple,coordinates,rads
0,1001,"Flensburg, Stadt",2000,Hamburg,flensburg,"(54.7937431, 9.4469964)","[0.9563312265869246, 0.16488119160405124]"
1,1002,"Kiel, Landeshauptstadt",2000,Hamburg,kiel,"(54.3232927, 10.1227652)","[0.9481203181396003, 0.1766755821463023]"
2,1003,"Lübeck, Hansestadt",2000,Hamburg,lubeck,"(53.865467, 10.686559)","[0.9401297522743525, 0.1865156402586327]"
4,1051,Dithmarschen,2000,Hamburg,dithmarschen,"(54.1328, 9.11737)","[0.9447955933235864, 0.1591281256225554]"
5,1053,Herzogtum Lauenburg,2000,Hamburg,herzogtum-lauenburg,"(53.570009, 10.613951)","[0.934973037372995, 0.18524839159534467]"
6,1054,Nordfriesland,2000,Hamburg,nordfriesland,"(54.676022, 8.933632)","[0.9542766057928551, 0.15592129256152606]"
7,1055,Ostholstein,2000,Hamburg,ostholstein,"(54.164203, 10.850424)","[0.9453436790685902, 0.1893756240374132]"
8,1056,Pinneberg,2000,Hamburg,pinneberg,"(53.6545225, 9.7938212)","[0.9364480762103792, 0.17093442629162206]"
11,1059,Schleswig-Flensburg,2000,Hamburg,schleswig-flensburg,"(54.629896, 9.534861)","[0.9534715552220802, 0.16641471816999903]"
12,1060,Segeberg,2000,Hamburg,segeberg,"(53.961307, 10.152842)","[0.9418024758294637, 0.17720052133476613]"
13,1061,Steinburg,2000,Hamburg,steinburg,"(53.711389, 10.402778)","[0.9374405838694645, 0.18156272745403068]"
14,1062,Stormarn,2000,Hamburg,stormarn,"(53.685894, 10.292985)","[0.9369956121766686, 0.17964647810838855]"
15,2000,"Hamburg, Freie und Hansestadt",2000,Hamburg,hamburg,"(53.551085, 9.993682)","[0.9346427512653476, 0.17442265529729195]"
16,3353,Harburg,2000,Hamburg,harburg,"(53.460768, 9.983584)","[0.933066422244824, 0.17424641194942558]"
18,3355,Lüneburg,2000,Hamburg,luneburg,"(53.246421, 10.411518)","[0.9293253613530515, 0.18171526923065495]"
19,3359,Stade,2000,Hamburg,stade,"(53.5928618, 9.4709494)","[0.9353718939762948, 0.16529925031978146]"
20,3360,Uelzen,2000,Hamburg,uelzen,"(52.9658199, 10.5580304)","[0.9244279482733337, 0.18427239300565393]"
