Kreise_Key,Kreis,AMR-Schlüssel,Arbeitsmarktregion (AMR),gLat,gLong,stations,von_datum,bis_datum
3157,Peine,3101,Braunschweig/Wolfsburg,52.3217849,10.2349489,"6277,5675,5676,4364,172,850,4947,662,2206,2207",19530301,20221030
5558,Coesfeld,5515,Münster,51.9458943,7.1691108,"2338,4100,1766,1032,3753,553,13901,4174,2173,3101",19500101,20221030
16076,Greiz,16051,Erfurt,50.6477963,12.1734848,"840,3883,1612,5750,888,3289,3034,3419,222,4222",19520101,20221030
3101,"Braunschweig, Stadt",3101,Braunschweig/Wolfsburg,52.2646577,10.5236066,"6277,5158,5675,5676,4364,4947,5267,662,2206,2207",19530301,20221030
5170,Wesel,5113,Düsseldorf-Ruhr,51.6576909,6.617087,"4100,1672,553,13901,2798,3101,1590,1078,15963,2173",19500101,20221030
3241,Region Hannover,3241,Hannover,53.828167,11.148669,"2950,1000,3369,3085,3086,909,2609,3954,2770,3317",19500301,20221030
12062,Elbe-Elster,14612,Dresden,51.8279595,12.8268268,"5546,2475,3083,3082,4782,4496,2451,2931,435,2621",19550101,20221030
8121,"Heilbronn, Stadt",8111,Stuttgart,49.142291,9.218655,"4928,4929,5284,4582,2406,710,5429,5435,4349,3135",19530101,20221030
13075,Vorpommern-Greifswald,13075,Greifswald/Stralsund,54.097154,13.379559,"288,129,5088,5097,1803,1869,5778,3478,5663",19670101,20221030
14511,"Chemnitz, Stadt",14511,Chemnitz,50.8322608,12.9252977,"833,3234,840,1612,19510,888,3166,4222,222,991",19500101,20221030
9277,Rottal-Inn,9162,München,48.390995,12.945145,"4706,4354,3366,2920,73,13932,2573,1332,728,1275",19530101,20221030
7336,Kusel,10041,Saarbrücken,49.5399844,7.4008479,"2790,3545,4397,4665,2385,3825,5681,1011,793,2331",19610101,20221030
4011,"Bremen, Stadt",4011,Bremen,53.0758196,8.8071646,"704,705,642,44,6189,3791,5236,5014,5821,5822",19520101,20221030
9773,Dillingen a.d.Donau,9162,München,48.5812547,10.4951425,"5154,2886,4583,2521,2926,2543,2905,3484,3485,606",19500101,20221030
9672,Bad Kissingen,9662,Schweinfurt,50.1985698,10.0746833,"4480,2055,5032,4479,4621,2223,4377,3836,15965,191",19540101,20221030
7211,"Trier, Stadt",7211,Trier,49.7596208,6.6441878,"3904,3905,964,3274,1964,4665,3155,793,5433,953",19500801,20221030
9477,Kulmbach,9462,Bayreuth,50.1008448,11.4479149,"4775,3752,1292,1359,4818,4438,4663,3513,3034,2780",19520101,20221030
14521,Erzgebirgskreis,14511,Chemnitz,48.698666,11.19357,"3139,1161,2410,2700,142,5904,3922,2521,3484,221",19500101,20221030
10042,Merzig-Wadern,10041,Saarbrücken,49.45724,6.686688,"3904,3905,5029,3274,4490,4665,981,4343,5433,5244",19570101,20221030
16069,Hildburghausen,16054,Suhl,50.4266327,10.7300263,"1568,3204,3113,3694,2223,2226,1493,3513,3836,3231",19500601,20221030
9186,Pfaffenhofen a.d.Ilm,9162,München,48.5296743,11.5084954,"4584,2410,3722,142,1262,5904,19317,2521,3484,221",19500101,20221030
