Zeit,Kreise_Code,Kreise_Name,pval_baureifsLand,pval_insgesamt,AMR_Key,gLat,gLong,d_kreise
2021,1004,Neumünster.kreisfreieStadt,138.36,138.06,2000,54.0757442,9.9815377,1
2020,1004,Neumünster.kreisfreieStadt,152.63,96.51,2000,54.0757442,9.9815377,1
2019,1004,Neumünster.kreisfreieStadt,122.35,64.29,2000,54.0757442,9.9815377,1
2018,1004,Neumünster.kreisfreieStadt,149.9,70.28,2000,54.0757442,9.9815377,1
2017,1004,Neumünster.kreisfreieStadt,111.56,60.12,2000,54.0757442,9.9815377,1
2016,1004,Neumünster.kreisfreieStadt,96.58,66.41,2000,54.0757442,9.9815377,1
2015,1004,Neumünster.kreisfreieStadt,105.22,58.05,2000,54.0757442,9.9815377,1
2014,1004,Neumünster.kreisfreieStadt,90.05,62.46,2000,54.0757442,9.9815377,1
2013,1004,Neumünster.kreisfreieStadt,89.77,44.04,2000,54.0757442,9.9815377,1
2012,1004,Neumünster.kreisfreieStadt,94.3,41.75,2000,54.0757442,9.9815377,1
2011,1004,Neumünster.kreisfreieStadt,87.38,17.83,2000,54.0757442,9.9815377,1
2010,1004,Neumünster.kreisfreieStadt,71.05,22.83,2000,54.0757442,9.9815377,1
2009,1004,Neumünster.kreisfreieStadt,64.78,54.89,2000,54.0757442,9.9815377,1
2008,1004,Neumünster.kreisfreieStadt,90.83,28.06,2000,54.0757442,9.9815377,1
2007,1004,Neumünster.kreisfreieStadt,91.81,50.4,2000,54.0757442,9.9815377,1
2006,1004,Neumünster.kreisfreieStadt,89.85,80.91,2000,54.0757442,9.9815377,1
2005,1004,Neumünster.kreisfreieStadt,89.2,62.88,2000,54.0757442,9.9815377,1
2004,1004,Neumünster.kreisfreieStadt,82.33,67.05,2000,54.0757442,9.9815377,1
2003,1004,Neumünster.kreisfreieStadt,85.63,57.67,2000,54.0757442,9.9815377,1
2002,1004,Neumünster.kreisfreieStadt,99.87,51.26,2000,54.0757442,9.9815377,1
2001,1004,Neumünster.kreisfreieStadt,80.1,60.89,2000,54.0757442,9.9815377,1
2000,1004,Neumünster.kreisfreieStadt,89.44,68.62,2000,54.0757442,9.9815377,1
1999,1004,Neumünster.kreisfreieStadt,73.27,62.88,2000,54.0757442,9.9815377,1
1998,1004,Neumünster.kreisfreieStadt,75.52,67.3,2000,54.0757442,9.9815377,1
1997,1004,Neumünster.kreisfreieStadt,80.79,31.28,2000,54.0757442,9.9815377,1
1996,1004,Neumünster.kreisfreieStadt,69.46,56.11,2000,54.0757442,9.9815377,1
1995,1004,Neumünster.kreisfreieStadt,71.11,28.59,2000,54.0757442,9.9815377,1
2021,1051,Dithmarschen.Landkreis,34.61,34.12,2000,53.9976953,9.2566673,1
2020,1051,Dithmarschen.Landkreis,66.36,55.1,2000,53.9976953,9.2566673,1
2019,1051,Dithmarschen.Landkreis,60.1,55.25,2000,53.9976953,9.2566673,1
2018,1051,Dithmarschen.Landkreis,49.61,39.54,2000,53.9976953,9.2566673,1
2017,1051,Dithmarschen.Landkreis,48.63,41.78,2000,53.9976953,9.2566673,1
2016,1051,Dithmarschen.Landkreis,56.4,55.16,2000,53.9976953,9.2566673,1
2015,1051,Dithmarschen.Landkreis,55.12,54.75,2000,53.9976953,9.2566673,1
2014,1051,Dithmarschen.Landkreis,53.5,53.5,2000,53.9976953,9.2566673,1
2013,1051,Dithmarschen.Landkreis,32.14,30.23,2000,53.9976953,9.2566673,1
2012,1051,Dithmarschen.Landkreis,42.84,33.96,2000,53.9976953,9.2566673,1
