Stations_id,von_datum,bis_datum,geoCoords,AMR_Key,Stationsname,AMR_Kreis
11,19800901,20200930,"(47.9736, 8.5205)",8326,Donaueschingen_(Landeplatz),Villingen-schwenningen
44,19690101,20221030,"(52.9336, 8.237)",3403,Gro�enkneten,Oldenburg(o.)
52,19690101,20011231,"(53.6623, 10.199)",2000,Ahrensburg-Wulfsdorf,Hamburg
61,19750701,19780831,"(48.8443, 12.6171)",9362,Aiterhofen,Regensburg
70,19730601,19860930,"(48.2052, 9.0371)",8421,Albstadt-Ebingen,Ulm
71,19861101,20191231,"(48.2156, 8.9784)",8421,Albstadt-Badkap,Ulm
72,19780901,19950531,"(48.2766, 9.0001)",8421,Albstadt-Onstmettingen,Ulm
73,19590301,20221030,"(48.6159, 13.0506)",9262,Aldersbach-Kriestorf,Passau
78,19610101,20221030,"(52.4853, 7.9126)",3404,Alfhausen,Osnabruck
90,19880219,20221030,"(50.7557, 9.2583)",6412,Alsfeld,Frankfurt a.m.
91,19781101,20221030,"(50.7446, 9.345)",6412,Alsfeld-Eifa,Frankfurt a.m.
93,19771201,19781031,"(50.7691, 9.2542)",6611,Alsfeld-Reibertenrod,Kassel
106,19710101,20061201,"(51.7976, 10.4429)",3101,Altenau,Braunschweig/wolfsburg
125,19740301,20221030,"(47.8342, 10.8667)",9162,Altenstadt,Munchen
126,19791101,20101130,"(49.5447, 10.2213)",9663,Uffenheim_(Schulstr.),Wurzburg
129,19910101,20061231,"(53.6893, 13.242)",13075,Altentreptow,Greifswald/stralsund
132,19531211,19870930,"(49.7725, 12.3891)",9479,Altglash�tte,Wunsiedel i.f.
142,19550101,20221030,"(48.406, 11.3117)",9162,Altom�nster-Maisbrunn,Munchen
161,19801201,20221030,"(50.4237, 7.4202)",7111,Andernach,Koblenz
172,19690501,19911130,"(52.2486, 9.5056)",3241,Annaturm,Hannover
174,19840301,19871231,"(49.1886, 7.9766)",8222,Annweiler-Bindersbach,Mannheim
175,19520101,19760430,"(49.2964, 10.5751)",9564,Ansbach,Nurnberg
176,19760601,19951130,"(49.2475, 10.5826)",9564,Ansbach-Claffheim,Nurnberg
191,19860401,20221030,"(49.9694, 9.9114)",9663,Arnstein-M�desheim,Wurzburg
193,19680101,19971031,"(51.3845, 9.082)",6611,Arolsen-Neu_Berich,Kassel
197,19900801,20221030,"(51.3219, 9.0558)",6611,"Arolsen-Volkhardinghausen,_Bad",Kassel
198,19540101,20221030,"(51.3744, 11.292)",16051,Artern,Erfurt
211,19810901,19991231,"(50.58, 8.4685)",6412,A�lar_Klein-Altenst�dten,Frankfurt a.m.
221,19850801,19900531,"(48.5515, 11.7117)",9162,Au_i.d.Hallertau-G�nzenhausen,Munchen
222,19770101,20221030,"(50.5908, 12.7139)",14511,Aue,Chemnitz
243,19580901,20061231,"(53.4621, 7.467)",3403,Aurich,Oldenburg(o.)
268,19540101,20081231,"(48.5293, 8.2727)",8111,Baiersbronn-Obertal,Stuttgart
273,19861201,19900430,"(47.8413, 9.6606)",8436,Baindt,Ravensburg
288,19910101,19980831,"(53.8409, 13.7549)",13075,Bargischow-Gnevezin,Greifswald/stralsund
294,19920201,20221030,"(52.3199, 9.43)",3241,Barsinghausen-Hohenbostel,Hannover
321,19790101,19951031,"(47.6797, 12.0017)",9162,Bayrischzell,Munchen
327,19620901,19961031,"(53.6234, 8.8323)",4011,Bederkesa,Bremen
335,19761201,19771031,"(54.3426, 10.6018)",3403,Behrensdorf,Oldenburg(o.)
341,19680201,19930131,"(47.7277, 7.552)",8336,"Bellingen,_Bad",Lorrach
348,19891214,20110901,"(50.4135, 7.5886)",7111,Bendorf,Koblenz
365,19911001,20020930,"(49.3311, 11.4303)",9564,Berg/Oberpfalz,Nurnberg
368,19730101,20221030,"(52.8152, 9.9248)",3241,Bergen,Hannover
379,19540701,20221030,"(50.9075, 11.2665)",16051,"Berka,_Bad_(Flugplatz)",Erfurt
386,19730701,19861130,"(51.0454, 8.3851)",5970,"Berleburg,_Bad",Siegen
390,19861201,20221030,"(50.9837, 8.3683)",5970,"Berleburg,_Bad-St�nzel",Siegen
399,19750101,20150630,"(52.5198, 13.4057)",11000,Berlin-Alexanderplatz,Berlin
400,19610101,20221030,"(52.631, 13.5021)",11000,Berlin-Buch,Berlin
403,19500101,20221030,"(52.4537, 13.3017)",11000,Berlin-Dahlem_(FU),Berlin
407,19580101,19780331,"(52.6461, 13.2858)",11000,Berlin-Frohnau,Berlin
416,19820701,19960930,"(52.4069, 13.4127)",11000,Berlin-Lichtenrade,Berlin
422,19560101,19641231,"(52.5333, 13.3833)",11000,Berlin-Mitte,Berlin
424,19540101,19801231,"(52.5, 13.4667)",11000,Berlin-Ostkreuz,Berlin
425,19590101,19820630,"(52.4044, 13.4838)",11000,Berlin-Rudow,Berlin
427,19570101,20221030,"(52.3807, 13.5306)",11000,Berlin_Brandenburg,Berlin
429,19861001,19870131,"(52.5667, 13.1694)",11000,Berlin-Spandau,Berlin
430,19630101,20210505,"(52.5644, 13.3088)",11000,Berlin-Tegel,Berlin
432,19780401,19941231,"(52.6044, 13.2952)",11000,Berlin-Tegeler_Fliesstal,Berlin
435,19640101,20061231,"(52.4289, 13.2327)",11000,Berlin-Zehlendorf,Berlin
458,19750101,19880331,"(50.0699, 7.0306)",7111,"Bertrich,_Bad",Koblenz
474,19590101,19860930,"(48.1252, 9.7639)",8421,Warthausen-Birkenhard,Ulm
502,19670801,20061231,"(49.8747, 9.4883)",9663,Bischbrunn,Wurzburg
553,19540101,19741231,"(51.838, 6.6107)",5515,Bocholt_(Marienschule),Munster
570,19790101,19811231,"(49.0768, 13.0765)",9262,Bodenmais-Mais,Passau
576,19870801,20031231,"(48.6759, 8.9732)",8111,B�blingen,Stuttgart
588,19920501,19960731,"(51.752, 9.3953)",5711,Boffzen,Bielefeld/paderborn
601,19740101,20031031,"(50.6983, 7.0356)",5315,Bonn-Hardth�he,Koln
603,19860801,20221030,"(50.7293, 7.204)",5315,K�nigswinter-Heiderhof,Koln
604,19710101,20051031,"(47.8194, 8.3348)",8336,Bonndorf/Schwarzwald,Lorrach
606,19500101,19540731,"(48.079, 10.1977)",9162,Boos,Munchen
634,19800301,19910331,"(49.4442, 9.6458)",8111,Boxberg-Seehof,Stuttgart
635,19800501,19900930,"(49.45, 9.6333)",8111,Boxberg-Seehof_(West),Stuttgart
636,19811101,19910331,"(49.45, 9.65)",8111,Boxberg-Seehof_(Wind-3m),Stuttgart
642,19660101,20221030,"(53.3517, 8.4969)",3403,Brake,Oldenburg(o.)
648,19630501,20061231,"(53.8551, 9.7152)",2000,Brande-H�rnerkirchen,Hamburg
657,19550101,20031231,"(51.6634, 10.669)",3159,Braunlage-Hohegei�,Gottingen
662,19610101,20221030,"(52.2915, 10.4464)",3101,Braunschweig,Braunschweig/wolfsburg
675,19800701,19880229,"(48.0333, 7.6)",8311,Breisach-Eckartsberg,Freiburg i.br.
704,19790401,20221030,"(53.4451, 9.139)",4011,Bremerv�rde,Bremen
705,19850601,20061231,"(53.5312, 9.1664)",2000,Bremerv�rde-Niederochtenhausen,Hamburg
706,19690901,20041231,"(47.8858, 7.6611)",8311,Eschbach,Freiburg i.br.
710,19831101,20031231,"(49.0249, 8.699)",8111,Bretten,Stuttgart
727,19580101,19861231,"(49.7345, 8.9557)",6412,Brombachtal-Kirch-Brombach,Frankfurt a.m.
728,19810201,19861231,"(48.8171, 13.2176)",9262,Brotjacklriegel_(UBA),Passau
743,19750101,20010928,"(51.2, 6.1333)",5113,Br�ggen_(Flugplatz),Dusseldorf-ruhr
748,19660101,20080930,"(53.8887, 9.1411)",2000,Brunsb�ttel_(Schleuse),Hamburg
757,19901001,20221030,"(47.9625, 7.9983)",8311,Buchenbach,Freiburg i.br.
760,19760601,20221030,"(53.3629, 9.9435)",2000,Rosengarten-Klecken,Hamburg
766,19650101,20221030,"(50.1745, 7.0595)",7111,B�chel_(Flugplatz),Koblenz
769,19720101,20221030,"(52.2817, 9.089)",3241,B�ckeburg,Hannover
773,19860501,20041231,"(48.6743, 8.1799)",8212,B�hlertal-Obertal,Karlsruhe
781,19880101,19940331,"(51.6126, 8.619)",5711,B�hren-Ahden,Bielefeld/paderborn
788,19650101,20221030,"(54.1193, 8.8584)",2000,B�sum,Hamburg
793,19920101,19941031,"(49.662, 7.1098)",6412,Buhlenberg,Frankfurt a.m.
817,19521001,20221030,"(51.0306, 8.8146)",6611,Burgwald-Bottendorf,Kassel
829,19790701,19970831,"(50.396, 8.5465)",6412,Butzbach-Bodenrod,Frankfurt a.m.
833,19720501,20010430,"(50.6951, 13.4975)",14612,Neuhausen/Erzgeb.-Rauschenbach,Dresden
840,19891201,20221030,"(50.4313, 12.6114)",14511,Carlsfeld,Chemnitz
850,19740801,20221030,"(52.5959, 10.0296)",3241,Celle,Hannover
865,19600101,19710228,"(52.8441, 8.0624)",3403,Cloppenburg,Oldenburg(o.)
881,19500101,20031231,"(49.0985, 10.0979)",8111,Crailsheim-Alexandersreut,Stuttgart
888,19650101,19911216,"(50.8149, 12.3821)",14511,Crimmitschau,Chemnitz
909,19860101,19931130,"(54.0551, 10.2984)",2000,Damsdorf,Hamburg
918,19871001,19950731,"(49.8453, 8.624)",6412,Darmstadt_(A),Frankfurt a.m.
927,19851001,20001231,"(50.1957, 6.8279)",7211,Daun,Trier
931,19890801,20031231,"(47.8007, 9.4108)",8436,Deggenhausertal-Azenweiler,Ravensburg
950,19850101,19930228,"(51.95, 8.9)",5711,Detmold,Bielefeld/paderborn
953,19500801,20221030,"(49.7619, 7.0542)",6412,Deuselbach,Frankfurt a.m.
963,19520901,20221030,"(52.5881, 8.3424)",4011,Diepholz,Bremen
964,19520101,19621231,"(50.0832, 6.8904)",7211,Dierfeld,Trier
970,19850401,19990630,"(49.4158, 10.6734)",9564,Dietenhofen,Nurnberg
981,19820501,20011231,"(49.3531, 6.749)",10041,Dillingen_(Saar),Saarbrucken
991,19540901,20221030,"(50.9116, 13.7087)",14612,Dippoldiswalde-Reinberg,Dresden
1000,19910701,19970831,"(54.1442, 11.8454)",13003,"Doberan,_Bad-Heiligendamm",Rostock
1010,19870401,20080923,"(52.9732, 7.3209)",5515,D�rpen_(Kl�ranlage),Munster
1011,19901011,20221030,"(49.6017, 7.7413)",10041,D�rrmoschel-Felsbergerhof,Saarbrucken
1013,19800401,20221030,"(47.6026, 8.1697)",8336,Dogern,Lorrach
1032,19500101,19990930,"(51.512, 7.5345)",5113,Dortmund,Dusseldorf-ruhr
1066,19630101,19761231,"(51.504, 10.2613)",3159,Duderstadt,Gottingen
1072,19520101,20221030,"(49.4719, 8.1929)",8222,"D�rkheim,_Bad",Mannheim
1078,19520101,20221030,"(51.296, 6.7686)",5113,D�sseldorf,Dusseldorf-ruhr
1102,19871101,20021231,"(48.7201, 9.5328)",8111,Ebersbach/Fils,Stuttgart
1103,19780101,20221030,"(48.1003, 11.9872)",9162,Ebersberg-Halbing,Munchen
1107,19630101,20221030,"(49.852, 10.4991)",9663,Ebrach,Wurzburg
1126,19840401,19990130,"(49.96, 8.64)",6412,Egelsbach,Frankfurt a.m.
1130,19720401,20050131,"(54.6282, 9.3649)",2000,Eggebek,Hamburg
1146,19850701,19870731,"(48.6593, 8.9121)",8111,Ehningen,Stuttgart
1161,19550101,20221030,"(48.8777, 11.2349)",9162,Eichst�tt-Landershofen,Munchen
1163,19761101,20070224,"(54.2667, 8.85)",2000,Eidersperrwerk,Hamburg
1169,19760201,19990930,"(47.6288, 7.5959)",8336,Eimeldingen,Lorrach
1214,19871101,20221030,"(48.2012, 8.1088)",8311,Elzach-Fisnacht,Freiburg i.br.
1221,19500301,19741231,"(53.3707, 7.2236)",3403,Emden-Wolthusen,Oldenburg(o.)
1224,19751101,20221030,"(48.1378, 7.8351)",8311,Emmendingen-Mundingen,Freiburg i.br.
1239,19860801,20080922,"(47.8516, 8.7673)",8326,Engen/Hegau,Villingen-schwenningen
1243,19760101,19850930,"(48.4734, 9.3028)",8111,Eningen,Stuttgart
1261,19690101,19920731,"(48.3192, 11.944)",9162,Erding,Munchen
1262,19920517,20221030,"(48.3477, 11.8134)",9162,M�nchen-Flughafen,Munchen
1266,19640501,20221030,"(54.2992, 9.3162)",2000,Erfde,Hamburg
1275,19670401,19801231,"(48.3008, 13.1398)",9162,Ering,Munchen
1276,19800801,20021231,"(47.6358, 9.5392)",8436,Eriskirch-Mariabrunn,Ravensburg
1281,19820101,20010430,"(49.5653, 10.9729)",9564,Erlangen-Frauenaurach,Nurnberg
1287,19911201,20060831,"(49.8589, 9.2861)",6412,Eschau-Hobbach,Frankfurt a.m.
1292,19670101,20060430,"(49.7522, 11.8222)",9462,Eschenbach/Oberpfalz,Bayreuth
1299,19790901,19991031,"(53.6476, 7.6085)",3403,Esens,Oldenburg(o.)
1332,19660701,20221030,"(48.4832, 12.7241)",9162,"Falkenberg,Kr.Rottal-Inn",Munchen
1339,19710101,20221030,"(52.9157, 10.1885)",2000,Fa�berg,Hamburg
1347,19800201,19870131,"(47.8555, 8.1155)",8311,Feldberg-Altglash�tten,Freiburg i.br.
1359,19820101,19921126,"(50.0242, 11.2219)",9463,Fichtelberg/Ofr,Coburg
1372,19920101,20021031,"(47.4608, 10.2696)",9162,Fischen,Munchen
1378,19850701,20061231,"(54.8086, 9.4182)",2000,Flensburg,Hamburg
1379,19570101,20221030,"(54.7737, 9.3752)",2000,Flensburg_(Sch�ferhaus),Hamburg
1392,19871001,20061231,"(49.7316, 12.3489)",9479,Flossenb�rg,Wunsiedel i.f.
1403,19650401,19801031,"(50.0616, 9.455)",9663,Frammersbach,Wurzburg
1410,19540701,19970331,"(51.3512, 11.0958)",16051,"Frankenhausen/Kyffh�user,_Bad",Erfurt
