STATIONS_ID;MESS_DATUM;TMK;TXK;TNK
4704;19880501;15.8;21.6;6.4
4704;19880502;16.6;21.0;11.9
4704;19880503;11.6;16.6;9.2
4704;19880504;12.2;16.4;7.0
4704;19880505;12.3;16.4;7.3
4704;19880506;16.7;21.9;10.0
4704;19880507;18.5;25.3;10.4
4704;19880508;18.5;25.6;15.0
4704;19880509;15.6;21.5;11.8
4704;19880510;14.1;17.6;12.5
4704;19880511;15.0;19.5;11.9
4704;19880512;16.2;22.6;7.1
4704;19880513;16.2;21.6;9.5
4704;19880514;16.9;21.6;9.3
4704;19880515;16.7;22.9;10.9
4704;19880516;16.3;20.3;12.4
4704;19880517;14.1;19.2;13.4
4704;19880518;13.7;17.0;12.4
4704;19880519;13.9;19.1;10.3
4704;19880520;9.4;13.2;8.5
4704;19880521;8.4;12.9;5.3
4704;19880522;11.6;17.2;4.0
4704;19880523;14.4;21.3;5.3
4704;19880524;16.4;21.8;8.3
4704;19880525;19.0;26.1;10.3
4704;19880526;17.8;24.4;10.9
4704;19880527;14.8;20.8;12.3
4704;19880528;13.2;15.2;11.3
4704;19880529;12.6;20.1;7.9
4704;19880530;13.6;19.8;7.9
4704;19880531;10.8;14.4;9.6
4704;19880601;11.0;15.9;8.5
4704;19880602;12.6;16.1;10.3
4704;19880603;18.7;24.0;8.9
4704;19880604;12.3;18.4;10.5
4704;19880605;8.0;10.7;7.3
4704;19880606;6.7;7.4;6.1
4704;19880607;10.3;13.1;7.0
4704;19880608;13.1;18.9;6.5
4704;19880609;16.6;21.9;7.9
4704;19880610;17.0;22.3;11.0
4704;19880611;16.2;22.6;11.3
4704;19880612;15.8;21.0;11.7
4704;19880613;16.6;21.1;12.4
4704;19880614;18.2;23.9;10.3
4704;19880615;17.7;22.9;13.7
4704;19880616;17.4;23.6;13.4
4704;19880617;16.4;21.6;11.6
4704;19880618;17.2;21.4;10.4
4704;19880619;16.9;22.7;10.0
4704;19880620;16.1;20.9;13.2
4704;19880621;14.8;19.3;10.0
4704;19880622;18.5;21.6;10.3
4704;19880623;14.6;19.6;12.4
4704;19880624;16.3;21.3;8.9
4704;19880625;15.6;21.3;10.7
4704;19880626;15.8;21.4;12.0
4704;19880627;18.8;24.3;11.0
4704;19880628;17.7;23.6;13.5
4704;19880629;20.1;24.9;13.4
4704;19880630;21.7;26.4;14.5
4704;19880701;17.5;25.2;13.7
4704;19880702;15.8;20.9;11.7
4704;19880703;12.7;17.4;10.5
4704;19880704;17.2;21.8;12.2
4704;19880705;19.8;29.6;14.5
4704;19880706;17.3;22.9;12.6
4704;19880707;16.7;22.9;13.9
4704;19880708;15.7;22.8;12.4
4704;19880709;17.0;22.1;11.9
4704;19880710;19.2;25.2;12.1
4704;19880711;22.2;27.1;13.2
4704;19880712;17.9;22.5;15.6
4704;19880713;20.0;24.7;12.9
4704;19880714;15.3;19.5;12.9
4704;19880715;12.4;15.6;11.3
4704;19880716;13.0;16.2;10.7
4704;19880717;15.1;18.3;12.4
4704;19880718;17.4;21.8;14.0
4704;19880719;19.1;25.6;13.7
4704;19880720;19.9;28.0;11.0
4704;19880721;22.2;28.4;12.4
4704;19880722;23.5;28.7;15.4
4704;19880723;25.3;31.4;17.6
4704;19880724;16.9;25.5;14.9
4704;19880725;18.2;24.6;9.9
4704;19880726;21.8;29.7;12.4
4704;19880727;15.8;22.6;13.9
4704;19880728;18.2;23.9;10.6
4704;19880729;17.0;23.9;13.5
4704;19880730;16.5;21.1;10.5
4704;19880731;18.2;24.6;10.2
4704;19880801;21.6;26.8;12.4
4704;19880802;21.0;26.6;15.4
4704;19880803;14.0;19.8;12.9
4704;19880804;11.3;19.7;10.6
4704;19880805;15.6;21.3;9.5
4704;19880806;18.9;24.4;10.8
4704;19880807;19.9;26.2;12.2
4704;19880808;21.4;27.5;13.6
4704;19880809;20.7;26.3;17.4
4704;19880810;21.4;27.8;14.0
4704;19880811;21.6;27.0;17.8
4704;19880812;20.4;26.4;17.6
4704;19880813;20.2;25.2;16.2
4704;19880814;23.3;30.2;14.7
4704;19880815;23.0;29.3;18.5
4704;19880816;20.4;25.8;15.6
4704;19880817;20.1;25.2;15.5
4704;19880818;21.0;27.9;13.3
4704;19880819;22.4;28.6;15.1
4704;19880820;13.8;21.6;12.8
