Stations_id|von_datum|bis_datum|Stationshoehe|geoBreite|geoLaenge|Stationsname|Bundesland

00003|18910101|20110331|202|50.7827|6.0941|Aachen|Nordrhein-Westfalen

00011|19800901|20200930|680|47.9736|8.5205|Donaueschingen_(Landeplatz)|Baden-Württemberg

00044|19690101|20221030|44|52.9336|8.2370|Großenkneten|Niedersachsen

00052|19690101|20011231|46|53.6623|10.1990|Ahrensburg-Wulfsdorf|Schleswig-Holstein

00071|19861101|20191231|759|48.2156|8.9784|Albstadt-Badkap|Baden-Württemberg

00072|19780901|19950531|794|48.2766|9.0001|Albstadt-Onstmettingen|Baden-Württemberg

00073|19590301|20221030|340|48.6159|13.0506|Aldersbach-Kriestorf|Bayern

00078|19610101|20221030|65|52.4853|7.9126|Alfhausen|Niedersachsen

00090|19880219|20221030|305|50.7557|9.2583|Alsfeld|Hessen

00091|19781101|20221030|300|50.7446|9.3450|Alsfeld-Eifa|Hessen

00096|20190409|20221030|50|52.9437|12.8518|Neuruppin-Alt_Ruppin|Brandenburg

00102|19980101|20221030|32|53.8633|8.1275|Leuchtturm_Alte_Weser|Niedersachsen

00106|19710101|20061201|500|51.7976|10.4429|Altenau|Niedersachsen

00125|19740301|20221030|742|47.8342|10.8667|Altenstadt|Bayern

00126|19791101|20101130|330|49.5447|10.2213|Uffenheim_(Schulstr.)|Bayern

00129|19910101|20061231|28|53.6893|13.2420|Altentreptow|Mecklenburg-Vorpommern

00131|20041101|20221030|296|51.0881|12.9326|Geringswalde-Altgeringswalde|Sachsen

00142|19550101|20221030|511|48.4060|11.3117|Altomünster-Maisbrunn|Bayern

00150|19510101|20221030|215|49.7273|8.1164|Alzey|Rheinland-Pfalz

00151|19470101|20221030|382|49.4691|11.8546|Amberg-Unterammersricht|Bayern

00154|19940101|20221030|516|48.0197|12.2925|Amerang-Pfaffing|Bayern

00161|19801201|20221030|75|50.4237|7.4202|Andernach|Rheinland-Pfalz

00164|19080517|20221030|54|53.0316|13.9908|Angermünde|Brandenburg

00167|20040901|20221030|11|53.8409|13.6854|Anklam|Mecklenburg-Vorpommern

00172|19690501|19911130|395|52.2486|9.5056|Annaturm|Niedersachsen

00176|19760601|19951130|481|49.2475|10.5826|Ansbach-Claffheim|Bayern

00181|19991101|20081102|30|52.8761|11.5042|Arendsee|Sachsen-Anhalt

00183|19470101|20221030|42|54.6791|13.4344|Arkona|Mecklenburg-Vorpommern

00186|18800101|19980930|218|51.3773|8.0713|Arnsberg|Nordrhein-Westfalen

00191|19860401|20221030|217|49.9694|9.9114|Arnstein-Müdesheim|Bayern

00193|19680101|19971031|232|51.3845|9.0820|Arolsen-Neu_Berich|Hessen

00197|19900801|20221030|365|51.3219|9.0558|Arolsen-Volkhardinghausen,_Bad|Hessen

00198|19540101|20221030|164|51.3744|11.2920|Artern|Thüringen

00211|19810901|19991231|200|50.5800|8.4685|Aßlar_Klein-Altenstädten|Hessen

00217|19410101|20221030|670|47.8774|11.3643|Attenkam|Bayern

00222|19770101|20221030|393|50.5908|12.7139|Aue|Sachsen

00232|19470101|20221030|462|48.4253|10.9417|Augsburg|Bayern

